course_id,class_id,level_id,semester,section,
398,5,5,2087,T,
399,1,2,2087,A,
400,2,2,2087,A,
401,3,2,2087,A,
402,4,2,2087,A,
403,5,2,2087,A,
404,1,2,2087,A,
405,1,2,2091,A,
406,2,2,2091,A,
407,3,2,2091,A,
408,4,2,2091,A,
409,5,2,2091,A,
410,1,3,2091,F,
411,2,3,2091,F,
412,3,3,2091,F,
413,4,3,2091,F,
414,5,3,2091,F,
415,1,3,2091,G,
416,2,3,2091,G,
417,3,3,2091,G,
418,4,3,2091,G,
419,5,3,2091,G,
420,1,4,2091,M,
421,2,4,2091,M,
422,3,4,2091,M,
423,4,4,2091,M,
424,5,4,2091,M,
425,1,4,2091,P,
426,2,4,2091,P,
427,3,4,2091,P,
428,4,4,2091,P,
429,5,4,2091,P,
430,1,4,2091,Q,
431,2,4,2091,Q,
432,3,4,2091,Q,
433,4,4,2091,Q,
434,5,4,2091,Q,
435,1,4,2091,R,
436,2,4,2091,R,
437,3,4,2091,R,
438,4,4,2091,R,
439,5,4,2091,R,
440,1,5,2091,S,
441,2,5,2091,S,
442,3,5,2091,S,
443,4,5,2091,S,
444,5,5,2091,S,
445,1,5,2091,T,
446,2,5,2091,T,
447,3,5,2091,T,
448,4,5,2091,T,
449,5,5,2091,T,
450,3,3,2091,H,
451,4,3,2091,H,
452,5,3,2091,H,
453,3,5,2091,U,
454,4,5,2091,U,
455,1,2,2094,A,
456,2,2,2094,A,
457,3,2,2094,A,
458,4,2,2094,A,
459,5,2,2094,A,
460,1,3,2094,F,
461,2,3,2094,F,
462,3,3,2094,F,
463,4,3,2094,F,
464,5,3,2094,F,
465,1,3,2094,G,
466,2,3,2094,G,
467,3,3,2094,G,
468,4,3,2094,G,
469,5,3,2094,G,
475,1,4,2094,M,
476,2,4,2094,M,
477,3,4,2094,M,
478,4,4,2094,M,
479,5,4,2094,M,
480,1,4,2094,P,
481,2,4,2094,P,
482,3,4,2094,P,
483,4,4,2094,P,
484,5,4,2094,P,
485,1,4,2094,Q,
486,2,4,2094,Q,
487,3,4,2094,Q,
488,4,4,2094,Q,
489,5,4,2094,Q,
490,1,4,2094,R,
491,2,4,2094,R,
492,3,4,2094,R,
493,4,4,2094,R,
494,5,4,2094,R,
495,1,5,2094,S,
